id,title,slug,has_accepted_answer
59410,Altair mark shape,altair-mark-shape,False
59443,Support run from witihin python,support-run-from-witihin-python,False
59333,Question about scroll event,question-about-scroll-event,False
59390,Analytics not working,analytics-not-working,False
59228,Perform insert operation using st-gsheets-connection in private sheet,perform-insert-operation-using-st-gsheets-connection-in-private-sheet,False
59122,Problem with List.pop() breaking the text_input component,problem-with-list-pop-breaking-the-text-input-component,False
56965,Multiprocessing leads to frequent app crashes,multiprocessing-leads-to-frequent-app-crashes,False
58271,Count of variables in column for multiple lines on st.line_chart,count-of-variables-in-column-for-multiple-lines-on-st-line-chart,False
55425,App reload cause?,app-reload-cause,False
59301,How to display st.markdown in a column of st.dataframe?,how-to-display-st-markdown-in-a-column-of-st-dataframe,False
59324,Change the progress bar background color,change-the-progress-bar-background-color,True
58722,Model size too large?,model-size-too-large,False
59264,Drag and Drop / pdf file / streamlit,drag-and-drop-pdf-file-streamlit,False
59278,Error when updating streamlit,error-when-updating-streamlit,False
59218,Streamlit fails to run,streamlit-fails-to-run,False
57189,Anyone creating business-facing apps with Streamlit?,anyone-creating-business-facing-apps-with-streamlit,False
21624,Run streamlit from PyCharm,run-streamlit-from-pycharm,True
59348,Subject: Streamlit: Dynamically Updating DataFrame and Scatter Plot,subject-streamlit-dynamically-updating-dataframe-and-scatter-plot,False
59262,What is the scrolling event streamlit,what-is-the-scrolling-event-streamlit,False
59318,Change Background of Streamlit Container,change-background-of-streamlit-container,False
59335,My multi_select and plots disappear when i choose and ID,my-multi-select-and-plots-disappear-when-i-choose-and-id,False
59338,You need to enable Javascript to run this app！！！,you-need-to-enable-javascript-to-run-this-app,False
59158,I'm curious about the OpenAI keys in the Streamlit apps on Share App,im-curious-about-the-openai-keys-in-the-streamlit-apps-on-share-app,True
59231,How to block message asking for user email on first use,how-to-block-message-asking-for-user-email-on-first-use,False
59239,File uploader dropdown related issue,file-uploader-dropdown-related-issue,False
59037,Pop-up in the label of streamlit.slider,pop-up-in-the-label-of-streamlit-slider,True
59118,Adding scrolls bars to expander is not working,adding-scrolls-bars-to-expander-is-not-working,False
50354,St.chat_input interaction with other menu option component,st-chat-input-interaction-with-other-menu-option-component,False
59226,Modifying a column based on 'is_widget' value,modifying-a-column-based-on-is-widget-value,True
58980,How do I enable/disable a widget based on a toggle click using session state?,how-do-i-enable-disable-a-widget-based-on-a-toggle-click-using-session-state,False
58687,Saving Unique Data to different pages,saving-unique-data-to-different-pages,False
58951,How can I make the application automatically load the historical input value of the component?,how-can-i-make-the-application-automatically-load-the-historical-input-value-of-the-component,True
59177,This sends a error message for streamlit app for requirements (this should not),this-sends-a-error-message-for-streamlit-app-for-requirements-this-should-not,True
39441,How to get click action in a text,how-to-get-click-action-in-a-text,True
59208,Selenium Webdriver error,selenium-webdriver-error,False
57510,Updating column value based on data_editor input,updating-column-value-based-on-data-editor-input,False
59135,Obtain data using st.form and st.checkbox,obtain-data-using-st-form-and-st-checkbox,False
56770,"Ubuntu, Streamlit 1.29 : enable javascript to run message even for helloworld with curl",ubuntu-streamlit-1-29-enable-javascript-to-run-message-even-for-helloworld-with-curl,False
43252,Google Authentication in a streamlit app,google-authentication-in-a-streamlit-app,False
54600,Inconsistent decimal separator in st.number_input,inconsistent-decimal-separator-in-st-number-input,False
58989,App suddenly not working?,app-suddenly-not-working,False
58227,Chatbot component,chatbot-component,False
47787,Nginx setup WebSocket connection error with a subdomain name,nginx-setup-websocket-connection-error-with-a-subdomain-name,False
59083,How to export st.markdown() content as it is shown on the app,how-to-export-st-markdown-content-as-it-is-shown-on-the-app,False
59059,Prevent page from refreshing with multiple buttons,prevent-page-from-refreshing-with-multiple-buttons,False
51448,Bokeh DataTable,bokeh-datatable,False
59062,Icon as button,icon-as-button,True
7445,Multi-text input is awkward with too much extra space,multi-text-input-is-awkward-with-too-much-extra-space,True
361,"Getting an error ""'streamlit' is not recognized as an internal or external command, operable program or batch file.""",getting-an-error-streamlit-is-not-recognized-as-an-internal-or-external-command-operable-program-or-batch-file,False
58760,Increase the size of tooltip icon,increase-the-size-of-tooltip-icon,True
58599,Custom fonts didn't work streamlit version 1.27 above,custom-fonts-didnt-work-streamlit-version-1-27-above,False
59075,Streamlit application runs multiple times on startup,streamlit-application-runs-multiple-times-on-startup,False
38057,StreamlitAPIException: set_page_config() can only be called once per app error,streamlitapiexception-set-page-config-can-only-be-called-once-per-app-error,False
58948,Adding more images with button clicks,adding-more-images-with-button-clicks,False
59035,"Streamlit Pages, hide the collapse expander",streamlit-pages-hide-the-collapse-expander,False
37506,Embed iframe to my website,embed-iframe-to-my-website,False
59022,Modify st.chat_input via CSS,modify-st-chat-input-via-css,False
59016,How to import a module from a parent directory in a Streamlit project?,how-to-import-a-module-from-a-parent-directory-in-a-streamlit-project,False
50583,Cannot keep float number from st.data_editor,cannot-keep-float-number-from-st-data-editor,False
46356,"Re-Run/Refresh does not update page anymore on 1.24.0, need restart of Streamlit for update to happen",re-run-refresh-does-not-update-page-anymore-on-1-24-0-need-restart-of-streamlit-for-update-to-happen,False
10295,Cannot change matplotlib figure size,cannot-change-matplotlib-figure-size,False
58934,How to remove analytics.js load?,how-to-remove-analytics-js-load,True
58915,Display streaming response that may have Latex,display-streaming-response-that-may-have-latex,False
58928,Custom customization of the button is not working,custom-customization-of-the-button-is-not-working,False
42796,How to bring the user to a specific tab within a page in my multipage app using the URL?,how-to-bring-the-user-to-a-specific-tab-within-a-page-in-my-multipage-app-using-the-url,False
58910,How to add dynamic tags to a column in Streamlit data_editor?,how-to-add-dynamic-tags-to-a-column-in-streamlit-data-editor,False
58807,Unable to open webcam in Streamlit in cloud envirement,unable-to-open-webcam-in-streamlit-in-cloud-envirement,False
10791,Streamlit does not use venv,streamlit-does-not-use-venv,False
58829,App in local host not detecting change in source code,app-in-local-host-not-detecting-change-in-source-code,False
58823,Error after deploying(Streamlit server consistently failed status checks),error-after-deploying-streamlit-server-consistently-failed-status-checks,False
58793,Cannot preserve the selections in multiselect,cannot-preserve-the-selections-in-multiselect,False
32248,How to have API call on streamlit?,how-to-have-api-call-on-streamlit,True
58842,How to Refresh Radio Button Options,how-to-refresh-radio-button-options,True
57793,Multiuser Issue in Mulitpage app,multiuser-issue-in-mulitpage-app,False
8546,How to dynamically create a number of columns and insert an element into each,how-to-dynamically-create-a-number-of-columns-and-insert-an-element-into-each,False
30122,Reset slider values to original state,reset-slider-values-to-original-state,False
36227,Increase expander's label text size,increase-expanders-label-text-size,True
31325,Inconsistent behaviour of st.selectbox with sessions,inconsistent-behaviour-of-st-selectbox-with-sessions,True
58816,How to display st.chat_input() widget in different locations other than the bottom of the page?,how-to-display-st-chat-input-widget-in-different-locations-other-than-the-bottom-of-the-page,False
58814,How to get analytics data from you SL app connected to Firebase,how-to-get-analytics-data-from-you-sl-app-connected-to-firebase,False
58646,Custom font with streamlit extras,custom-font-with-streamlit-extras,True
58718,Unable to launch Streamlit app,unable-to-launch-streamlit-app,False
58762,Changing the Avatar,changing-the-avatar,False
58725,Unable to update Streamlit app after GitHub update,unable-to-update-streamlit-app-after-github-update,True
58737,CEL with StreamlitChatMessageHistory.,cel-with-streamlitchatmessagehistory,False
58735,MSODBCSQL18 Streamlit Cloud Connection Error Does Not Recognize ACCEPT_EULA,msodbcsql18-streamlit-cloud-connection-error-does-not-recognize-accept-eula,False
58649,Unsafe_allow_html for all widgets,unsafe-allow-html-for-all-widgets,False
58694,ModuleNotfound error,modulenotfound-error,False
58699,Google authentication with Streamlit Community Cloud,google-authentication-with-streamlit-community-cloud,False
58486,Double clicking on the codesection in the docs causes whiteout,double-clicking-on-the-codesection-in-the-docs-causes-whiteout,True
58684,How to prevent submit from text_input widget when enter key input?,how-to-prevent-submit-from-text-input-widget-when-enter-key-input,False
58677,Want to know how to embed my html code in the streamlit currently facing alignment issue and responsiveness of the webpage with the streamlit,want-to-know-how-to-embed-my-html-code-in-the-streamlit-currently-facing-alignment-issue-and-responsiveness-of-the-webpage-with-the-streamlit,False
54954,Anyone using the new features from openai?,anyone-using-the-new-features-from-openai,False
25984,Custom Fonts on Streamlit,custom-fonts-on-streamlit,True
58656,Streamlit App Engine Google Flex slow/not responding,streamlit-app-engine-google-flex-slow-not-responding,False
58184,Hover over selectbox: display current selection text,hover-over-selectbox-display-current-selection-text,False
58644,Arbitrary option,arbitrary-option,False
50835,"AttributeError: 'DataFrame' object has no attribute 'append' when using st.session_state""",attributeerror-dataframe-object-has-no-attribute-append-when-using-st-session-state,False
58637,Passing Django Usernames to Streamlit,passing-django-usernames-to-streamlit,False
28142,Hide pages using multipage,hide-pages-using-multipage,False
27986,Navigate Multipage App with Buttons instead of Sidebar,navigate-multipage-app-with-buttons-instead-of-sidebar,True
58343,St.chat_input bug,st-chat-input-bug,False
13246,How to remove progress bar,how-to-remove-progress-bar,True
2428,How to upload a pdf file in streamlit,how-to-upload-a-pdf-file-in-streamlit,True
58593,How to wrap text in Streamlit data_edit?,how-to-wrap-text-in-streamlit-data-edit,False
58579,Move text to absolute top of the page,move-text-to-absolute-top-of-the-page,True
58149,Print not works with steamlit on debian system,print-not-works-with-steamlit-on-debian-system,True
58483,Connection to local Postgres - 'utf-8' codec can't decode byte 0xe3 in position 98: invalid continuation byte,connection-to-local-postgres-utf-8-codec-cant-decode-byte-0xe3-in-position-98-invalid-continuation-byte,False
58535,"First click on button inside a tab not working, needs a second click",first-click-on-button-inside-a-tab-not-working-needs-a-second-click,False
58533,Custom sonwsight,custom-sonwsight,False
45633,Click twice on button for changing state,click-twice-on-button-for-changing-state,False
58523,Pyttsx3 error in streamlit,pyttsx3-error-in-streamlit,False
58291,Button Positioning at any coordinates on an image,button-positioning-at-any-coordinates-on-an-image,False
58342,SCAMP and Streamlit,scamp-and-streamlit,False
58344,UnboundLocalError: cannot access local variable 'text' where it is not associated with a value,unboundlocalerror-cannot-access-local-variable-text-where-it-is-not-associated-with-a-value,False
58349,How to use Streaming response to a container WITHOUT using LangChain (AWS SageMaker Endpoint),how-to-use-streaming-response-to-a-container-without-using-langchain-aws-sagemaker-endpoint,False
58447,Text_input / chat_input set text programatically,text-input-chat-input-set-text-programatically,False
58458,Chat input widget. (st.chat_input) Error Message,chat-input-widget-st-chat-input-error-message,False
58469,How can I debug streamlit killed crashes?,how-can-i-debug-streamlit-killed-crashes,False
58511,Using for loop in tabs but loading data don't update,using-for-loop-in-tabs-but-loading-data-dont-update,False
58281,Filter dataframe error,filter-dataframe-error,False
58482,What are the conditions or steps one needs to fulfill to have their work showcased in the Streamlit Gallery?,what-are-the-conditions-or-steps-one-needs-to-fulfill-to-have-their-work-showcased-in-the-streamlit-gallery,False
56198,Streamlit Chatbot trained on own dataset no longer working,streamlit-chatbot-trained-on-own-dataset-no-longer-working,False
58179,ModuleNotFoundError: No module named 'streamlit_extras.add_vertical_space',modulenotfounderror-no-module-named-streamlit-extras-add-vertical-space,False
58372,Is there a way to set unique key for widget inside a dictionary in session_state?,is-there-a-way-to-set-unique-key-for-widget-inside-a-dictionary-in-session-state,True
107,Preserving state across sidebar pages,preserving-state-across-sidebar-pages,False
58287,TypeError: bar_chart() got an unexpected keyword argument 'x',typeerror-bar-chart-got-an-unexpected-keyword-argument-x,False
58393,Run Cron Job in streamlit applications,run-cron-job-in-streamlit-applications,False
58196,My CSS styles is not loading in the component. I may quit,my-css-styles-is-not-loading-in-the-component-i-may-quit,False
58324,"St.multiselect label doesn't work with markdown, doesn't parse",st-multiselect-label-doesnt-work-with-markdown-doesnt-parse,False
58421,Streamlit on Windows IIS hangs without starting app (or starting all of Streamlit?),streamlit-on-windows-iis-hangs-without-starting-app-or-starting-all-of-streamlit,False
58069,"St.image() not working, returns a DeltaGenerator() object",st-image-not-working-returns-a-deltagenerator-object,False
58202,Please help a confused guy with Streamlit/DataFrames/Filter - Updated,please-help-a-confused-guy-with-streamlit-dataframes-filter-updated,False
58375,No such file or directory:,no-such-file-or-directory,False
24216,PyCharm debugging instructions does not work in Windows environment,pycharm-debugging-instructions-does-not-work-in-windows-environment,True
58333,Issue with auto-saving st.text_area that scrolls to top on every edit,issue-with-auto-saving-st-text-area-that-scrolls-to-top-on-every-edit,True
58313,How to resolve Error installing requirements?,how-to-resolve-error-installing-requirements,False
58340,Streamlit Flow interactions,streamlit-flow-interactions,True
58346,Having problem's with os module compatibility with streamlit app hosted,having-problems-with-os-module-compatibility-with-streamlit-app-hosted,False
58317,My python is not deplyin streamilt,my-python-is-not-deplyin-streamilt,False
58327,Create a clock/timer with streamlit tools,create-a-clock-timer-with-streamlit-tools,False
39325,"KeyError: 'st.session_state has no key ""$$GENERATED_WIDGET_ID--None"". Did you forget to initialize it? More info:",keyerror-st-session-state-has-no-key-generated-widget-id-none-did-you-forget-to-initialize-it-more-info,False
55596,Config.toml not being used in Google Cloud Run,config-toml-not-being-used-in-google-cloud-run,False
58307,Streamlit cloud with Pyomo and IPOPT,streamlit-cloud-with-pyomo-and-ipopt,False
58278,Upload images and display it later with image url,upload-images-and-display-it-later-with-image-url,False
58201,Selectbox Scroll,selectbox-scroll,False
54324,IndexError: list index out of range,indexerror-list-index-out-of-range,False
45355,Thousands Separator in a Number Column of Data Editor,thousands-separator-in-a-number-column-of-data-editor,False
58158,Any news how to get user clicks on chart?,any-news-how-to-get-user-clicks-on-chart,False
58266,"Dynamic bar Map, update map instead of re-render",dynamic-bar-map-update-map-instead-of-re-render,False
58218,`st.plotly_chart` not render properly until an rerun while using `secondary_y` to overlay density curve to histogram,st-plotly-chart-not-render-properly-until-an-rerun-while-using-secondary-y-to-overlay-density-curve-to-histogram,False
58249,Expandable tabs in sidebar,expandable-tabs-in-sidebar,False
58258,Creating a golden ratio template for Streamlit apps,creating-a-golden-ratio-template-for-streamlit-apps,False
58253,Function sticking cause of session_state not clearing on page reload or browser tab close,function-sticking-cause-of-session-state-not-clearing-on-page-reload-or-browser-tab-close,False
57684,"I have a loop inside a thread which should display 2 warnings, but it displays only one",i-have-a-loop-inside-a-thread-which-should-display-2-warnings-but-it-displays-only-one,False
48257,"Redirecting python stdin to a ""text input"" widget?",redirecting-python-stdin-to-a-text-input-widget,False
57921,Streamlit - Best Practices!,streamlit-best-practices,False
6627,Filter dataframe by selections made in select box,filter-dataframe-by-selections-made-in-select-box,True
47094,Finally I find a right way to use extra-cookie.manager!,finally-i-find-a-right-way-to-use-extra-cookie-manager,False
58191,Streamlist - Clear screen on action,streamlist-clear-screen-on-action,False
58002,Streamlit and DataFrame Output - Options aren't showing up,streamlit-and-dataframe-output-options-arent-showing-up,False
56916,Dataframe was not working,dataframe-was-not-working,False
58098,"Super simple streamlit app reruns on start (side/effect), not clear why",super-simple-streamlit-app-reruns-on-start-side-effect-not-clear-why,False
5067,How do I use a background image on streamlit,how-do-i-use-a-background-image-on-streamlit,True
57972,How to update the DF(st.data_editor) being shown?,how-to-update-the-df-st-data-editor-being-shown,False
57699,Multiselect widget not working as expected inside streamlit form,multiselect-widget-not-working-as-expected-inside-streamlit-form,False
58169,Adding new row to editable tables,adding-new-row-to-editable-tables,False
58162,Embedding refresh avoid,embedding-refresh-avoid,False
49168,How to create click events?,how-to-create-click-events,False
58152,Called in wrong state: stable when using webrtc_streamer,called-in-wrong-state-stable-when-using-webrtc-streamer,False
58064,I couldn't delete my project since delete is passive,i-couldnt-delete-my-project-since-delete-is-passive,False
58086,Sql delete,sql-delete,False
58009,Align to the right,align-to-the-right,False
58059,Reducing the size of audio file created using audio-recorder-streamlit component,reducing-the-size-of-audio-file-created-using-audio-recorder-streamlit-component,True
57526,Recalculate columns values in a st.data_editor only works with first row,recalculate-columns-values-in-a-st-data-editor-only-works-with-first-row,False
57717,Changing the chat_input width,changing-the-chat-input-width,False
57804,How to avoid sidebar getting refreshed automatically,how-to-avoid-sidebar-getting-refreshed-automatically,False
58026,Predict numeric outcomes from user's input values trained using pandas excel datafram,predict-numeric-outcomes-from-users-input-values-trained-using-pandas-excel-datafram,False
58015,More icons other than emojis,more-icons-other-than-emojis,False
57593,App is not booting anymore,app-is-not-booting-anymore,False
57872,Parquet vs Feather,parquet-vs-feather,False
57937,On click custom component,on-click-custom-component,False
57993,Next js or Streamlit,next-js-or-streamlit,False
57735,What should someone take into account when building a live streaming streamlit app?,what-should-someone-take-into-account-when-building-a-live-streaming-streamlit-app,False
57649,ValueError: The truth value of an array with more than one element is ambiguous,valueerror-the-truth-value-of-an-array-with-more-than-one-element-is-ambiguous,True
52454,How can I increase the height of table rows in st.dataframe?,how-can-i-increase-the-height-of-table-rows-in-st-dataframe,False
51843,Displayed dataframe is visually shaking,displayed-dataframe-is-visually-shaking,True
57932,My app disappeared,my-app-disappeared,True
57214,"Have to feed the textbox input twice , Earlier it was working piece of code",have-to-feed-the-textbox-input-twice-earlier-it-was-working-piece-of-code,True
57660,Filter st.multiselect doesn't show dataframe,filter-st-multiselect-doesnt-show-dataframe,True
57813,On_click for links/hyperlinks; session_state preservation for complex apps,on-click-for-links-hyperlinks-session-state-preservation-for-complex-apps,False
57828,Streamlit-Folium Issue: Implementing a refresh button and retaining center and zoom locations,streamlit-folium-issue-implementing-a-refresh-button-and-retaining-center-and-zoom-locations,False
57887,Error deploying on the cloud,error-deploying-on-the-cloud,False
57927,ImportError: cannot import name 'AxisInt' from 'pandas._typing,importerror-cannot-import-name-axisint-from-pandas-typing,False
57919,"Define ""spawn point"" for a map?",define-spawn-point-for-a-map,False
57797,Lost edit access to streamlit app deployed in cloud,lost-edit-access-to-streamlit-app-deployed-in-cloud,False
57836,KeyError: 0 with bar chart,keyerror-0-with-bar-chart,False
57849,Cloud front ssl with streamlit,cloud-front-ssl-with-streamlit,False
57446,Freezing on initial execution at email prompt,freezing-on-initial-execution-at-email-prompt,True
40093,How to put a Plotly graph inside a box shape?,how-to-put-a-plotly-graph-inside-a-box-shape,False
55270,Read png from s3 using st.connection,read-png-from-s3-using-st-connection,False
57742,St.plotly_chart shows small gap between the axis and chart,st-plotly-chart-shows-small-gap-between-the-axis-and-chart,False
50394,Runtime error when importing FAISS,runtime-error-when-importing-faiss,False
39765,Blank page,blank-page,True
57801,"Folium Map not rendering properly, OrderedDict mutated during iteration",folium-map-not-rendering-properly-ordereddict-mutated-during-iteration,False
57767,Customize the streamlit sidebar navigation collapsed and expand button,customize-the-streamlit-sidebar-navigation-collapsed-and-expand-button,False
57629,Issues connecting Streamlit features (st.multiselct) to real data (.csv),issues-connecting-streamlit-features-st-multiselct-to-real-data-csv,True
56950,Creating stock price monitor,creating-stock-price-monitor,False
19156,Pay wall for streamlit content,pay-wall-for-streamlit-content,False
57688,Streampit application runs multiple times on startup,streampit-application-runs-multiple-times-on-startup,False
57685,A way to reatin data_editor state across pages,a-way-to-reatin-data-editor-state-across-pages,False
57678,Hide pages in Multiple pages app,hide-pages-in-multiple-pages-app,False
57583,How do I align elements in differnet columns?,how-do-i-align-elements-in-differnet-columns,True
57673,"Strange Exception ""StreamlitAPIException""",strange-exception-streamlitapiexception,False
57670,Error when switching between pages in app,error-when-switching-between-pages-in-app,False
57666,Making markdowns disappear automatically,making-markdowns-disappear-automatically,False
57626,Multiple Sessions Issue with Supabase Auth,multiple-sessions-issue-with-supabase-auth,False
57632,Click on row in dataframe and navigate to a detail page for the row clicked,click-on-row-in-dataframe-and-navigate-to-a-detail-page-for-the-row-clicked,False
57610,Trigger function from an st.data_editor,trigger-function-from-an-st-data-editor,False
57417,Interactively harnessing the selected vertical span (the start and end x-coordinates ) in an audio (speech) plot,interactively-harnessing-the-selected-vertical-span-the-start-and-end-x-coordinates-in-an-audio-speech-plot,False
57546,Is it possible to have an app bar at the top of a streamlit page?,is-it-possible-to-have-an-app-bar-at-the-top-of-a-streamlit-page,False
56998,StreamClosedError & WebSocketClosedError,streamclosederror-websocketclosederror,False
16344,Mito on Streamlit,mito-on-streamlit,False
57554,Error after successfyllu deploying and running the app. No module named 'st_paywall',error-after-successfyllu-deploying-and-running-the-app-no-module-named-st-paywall,False
57596,How to create on click events,how-to-create-on-click-events,False
57586,Redirection if response data has the link,redirection-if-response-data-has-the-link,False
36065,Add Image and header to Streamlit dataframe / table,add-image-and-header-to-streamlit-dataframe-table,False
45691,How do you clear the input box after hitting enter?,how-do-you-clear-the-input-box-after-hitting-enter,False
57567,St.empty() doesn't work,st-empty-doesnt-work,False
57561,Hiding thoughts entirely with Streamlitcallbackhandler,hiding-thoughts-entirely-with-streamlitcallbackhandler,False
57397,Selectbox has different style using localhost or IP address,selectbox-has-different-style-using-localhost-or-ip-address,True
56231,Streamlit deployment with Docker - local works but K8s `You need to enable JavaScript`,streamlit-deployment-with-docker-local-works-but-k8s-you-need-to-enable-javascript,False
47075,`st.cache_data` `func.clear()` clear data associated with specific argument(s),st-cache-data-func-clear-clear-data-associated-with-specific-argument-s,False
57376,Columns nesting workaround,columns-nesting-workaround,False
57390,Disable spinner from google sheets library,disable-spinner-from-google-sheets-library,False
57113,Long Anchor Tag Generation,long-anchor-tag-generation,False
54838,How to hide the new download button from st.dataframe,how-to-hide-the-new-download-button-from-st-dataframe,False
57485,Running a IIIF server in Streamlit,running-a-iiif-server-in-streamlit,False
57423,How to disable sorting of columns while using St.dataframe?,how-to-disable-sorting-of-columns-while-using-st-dataframe,False
57348,Adding a long PDF as a custom data source,adding-a-long-pdf-as-a-custom-data-source,False
57456,Gio: http://localhost:8501: Operation not supported,gio-http-localhost-operation-not-supported,False
56664,Reusing code in columns,reusing-code-in-columns,False
56851,Sizing Custom CSS Block to Parent Height,sizing-custom-css-block-to-parent-height,False
56928,Placeholder in a form 'cause of st.radio - having trouble with submit_button,placeholder-in-a-form-cause-of-st-radio-having-trouble-with-submit-button,True
57434,Resetting session_state during page transition,resetting-session-state-during-page-transition,False
57261,How to create kpi metrics in streamlit,how-to-create-kpi-metrics-in-streamlit,False
57454,"Download, Search and Expand hover in st.dataframe",download-search-and-expand-hover-in-st-dataframe,False
56688,Pls help me appreciated github id（https://github.com/AbdukeramDolkun/detectstuff/tree/main/YOLOv8-streamlit-app-master）,pls-help-me-appreciated-github-id-https-github-com-abdukeramdolkun-detectstuff-tree-main-yolov8-streamlit-app-master,False
57395,How to create a History Messages of User (Sidebar),how-to-create-a-history-messages-of-user-sidebar,True
57420,Record audio and save it locally,record-audio-and-save-it-locally,False
57400,How to change the position of st.form_submit_button?,how-to-change-the-position-of-st-form-submit-button,False
57345,Click checkbox once and unchecking it and clikc again causes the data to be preserved,click-checkbox-once-and-unchecking-it-and-clikc-again-causes-the-data-to-be-preserved,False
57398,tradingview widget code help,tradingview-widget-code-help,False
57185,ColumnConfig - Columns width when displaying a dataframe: automatic resize issue,columnconfig-columns-width-when-displaying-a-dataframe-automatic-resize-issue,False
57354,Button callback function is unexpectedly executed upon page load,button-callback-function-is-unexpectedly-executed-upon-page-load,False
57276,Filter dataframe with st.multiselect based on column that contains array,filter-dataframe-with-st-multiselect-based-on-column-that-contains-array,True
57379,St.connection：how to hide spinner writing: Running sql.query(...). in page,st-connection-how-to-hide-spinner-writing-running-sql-query-in-page,False
57308,Streamlit APP worked before and now crash -- import tensorflow,streamlit-app-worked-before-and-now-crash-import-tensorflow,True
34328,Sidebar layout change,sidebar-layout-change,True
37061,Streamlit app keeps reseting with error,streamlit-app-keeps-reseting-with-error,False
57374,Unable to locate wkhtmltopdf path in Streamlit app on Streamlit.io,unable-to-locate-wkhtmltopdf-path-in-streamlit-app-on-streamlit-io,False
57271,Individual category dropdown for each row of data editor,individual-category-dropdown-for-each-row-of-data-editor,False
57364,Using selectbox / multiselect box unable to select a value,using-selectbox-multiselect-box-unable-to-select-a-value,False
57203,ODBC Error,odbc-error,False
57332,Having column issues when importing a .csv file for st.dataframe,having-column-issues-when-importing-a-csv-file-for-st-dataframe,True
55037,How to pass header (token) in a streamlit (file_uploader) request?,how-to-pass-header-token-in-a-streamlit-file-uploader-request,False
